Number of captions, Number of images
1,704
2,9110
3,169
4,4
5,2
6,2
7,2
8,4
10,1
11,2

Number of captions, Image name,captions
1,000001.jpg,Dozer is driving on the road
1,000504.jpg,A cement truck is driving on a road.
1,000521.jpg,A mobile crane is parked in a parking site.
1,000657.jpg,A cement truck is parked in the parking site.
1,000658.jpg,A grader is grading the soil ground.
1,000674.jpg,Two compactors are compacting the road.
1,000699.jpg,A mobile crane is travelling on site.
1,000704.jpg,A dozer is driving trough a ground full of tree branches.
1,000721.jpg,Two dump trucks are dumping soil on the road and a dozer and a grader is spreading the soil.
1,000729.jpg,A wheel loader is pushing soil along a road.
1,000741.jpg,A grader is grading the road.
1,000742.jpg,A grader is grading the road.
1,000743.jpg,A grader is grading a sandy road.
1,000745.jpg,An excavator is excavating soil.
1,000748.jpg,A dozer is pushing soil on a mound.
1,000751.jpg,A mobile crane is setting up besides a building.
1,000752.jpg,A cement truck is leaving the construction site.
1,000754.jpg,A dozer is pushing soil on a mound.
1,000757.jpg,A compactor is travelling on a road.
1,000758.jpg,A grader is at rest on site.
1,000763.jpg,A dump truck is driving on a road.
1,000764.jpg,A dozer is travelling on a road.
1,000765.jpg,A compactor is compacting a road.
1,000768.jpg,A wheel loader is dumping gravels on to a conveyor.
1,000777.jpg,A wheel loader is dumping a big rock brick into a dump truck.
1,000779.jpg,A compactor is compacting a road.
1,000781.jpg,A cement truck is riding on a road.
1,000782.jpg,Three excavators are parked on site.
1,000783.jpg,A dozer is driving on a narrow road.
1,000786.jpg,A grader is grading a gravel road.
1,000790.jpg,A dozer is cleaning snow.
1,000793.jpg,A cement truck is travelling on a road.
1,000794.jpg,A grader is travelling on a road.
1,000797.jpg,A mobile crane and a tower crane are set up besides a building.
1,000798.jpg,An excavator is excavating big rocks.
1,000799.jpg,A compactor is compacting a road.
1,000800.jpg,A cement truck is travelling on a road.
1,000802.jpg,A backhoe loader is dumping soil to a mound near a pond.
1,000803.jpg,Two compactors are compacting the road.
1,000806.jpg,A mobile crane is set up on a road.
1,000807.jpg,A mobile crane is parked on site.
1,000809.jpg,A white excavator is excavating soil.
1,000813.jpg,A compactor is compacting a road.
1,000817.jpg,A grader is grading a road.
1,000819.jpg,A cement truck is travelling on a road.
1,000820.jpg,A cement truck is travelling on a road.
1,000821.jpg,A backhoe loader is digging the ground using its bucket.
1,000822.jpg,A compactor is compacting a road.
1,000824.jpg,A grader is grading the ground.
1,000825.jpg,A compactor is travelling on site.
1,000828.jpg,Two wheel loader are loading big rock bricks.
1,000829.jpg,A wheel loader is loading a dump truck.
1,000830.jpg,A dozer is pushing soil.
1,000832.jpg,An excavator is excavating gravel and a wheel loader is waiting at night.
1,000834.jpg,A grader is travelling on a road.
1,000837.jpg,A backhoe loader is travelling on a road.
1,000838.jpg,A cement truck is travelling on a road.
1,000839.jpg,A mobile crane is parked in a parking site.
1,000840.jpg,A cement truck is travelling on a road.
1,000842.jpg,A grader is travelling on a road.
1,000843.jpg,Dozers compactors and excavators are working on site to do earthwork.
1,000844.jpg,A backhoe loader is travelling on site.
1,000845.jpg,A mobile crane is set up on site.
1,000847.jpg,A cement truck is parked on site.
1,000848.jpg,An excavator is digging soil near a high mound.
1,000849.jpg,A dozer is travelling on site.
1,000851.jpg,A compactor is travelling on a snow road.
1,000852.jpg,A compactor is pulling a heavy material onto a slope.
1,000858.jpg,A grader is travelling on grass.
1,000859.jpg,A grader is travelling on a road.
1,000860.jpg,A grader is grading the road.
1,000861.jpg,A backhoe loader is parked in a parking site.
1,000863.jpg,A dozer is travelling on an uneven ground covered by snow.
1,000865.jpg,A wheel loader is travelling on the street.
1,000867.jpg,An excavator is excavating soil on a mound.
1,000868.jpg,A backhoe loader is travelling on site.
1,000871.jpg,A wheel loader is travelling with its loaded bucket full with rocks.
1,000872.jpg,A backhoe loader is travelling on a grass ground.
1,000875.jpg,A grader grading a road.
