File name,Total number of captions, Duplicate caption, Number of duplicates
000001.jpg,2,Dozer is driving on the road,2
000101.jpg,3,Backhoe loader is clearing the area from rocks and sand.,2
000102.jpg,3,Concrete cement truck moving along the road in residential area. ,2
000103.jpg,3,A dozer is plowing the field.,2
000104.jpg,3,A grader is plowing the soil.,2
000105.jpg,3,A wheel loader and a excavator are transporting the gravel on the construction site.,2
000106.jpg,3,A backhoe loader is moving on the site.,2
000107.jpg,3,A backhoe loader is working on a construction site.,2
000108.jpg,3,An excavator is dumping a full bucket of soil into a dump truck.,2
000109.jpg,3,A dozer is moving into the truck.,2
000110.jpg,3,A concrete mixer truck is dumping concrete.,2
000111.jpg,3,A dozer is parked on the site.,2
000112.jpg,3,A excavator is pulling a bucket of soil to the dump truck.,2
000113.jpg,3,A man is driving a compactor.,2
000114.jpg,3,A wheel loader is hold a bucket of gravel above the dump truck.,2
000115.jpg,3,A mobile crane is lifting something,2
000117.jpg,3,A compactor is compacting the concrete field.,2
000118.jpg,3,A grader is on the field.,2
000119.jpg,3,A compactor is compacting a road.,2
000121.jpg,3,three excavators and one dump truck are working on earth moving.,2
000122.jpg,3,Dozer is moving soil by using its blade.,2
000125.jpg,3,A compactor is compacting the road.,2
000126.jpg,3,A wheel loader is moving with a bucket of gravel.,2
000128.jpg,3,A concrete mixer truck is waiting on a road.,2
000129.jpg,3,A tower crane is not lifting anything.,2
000130.jpg,3,A grader is riding on a road.,2
000131.jpg,3,A backhoe loader is moving on the snow.,2
000132.jpg,3,A wheel loader is levelling the sand on the ground.,2
000133.jpg,3,Dump truck is moving empty towards a wheel loader to get filled. Wheel loader holding its bucket in the air filled with excavated soil.   ,2
000135.jpg,3,A mobile crane is lifted by another mobile crane.,2
000136.jpg,3,A dozer is pushing the sand and gravel beside some residential buildings.,2
000137.jpg,3,A compactor is moving backward.,2
000138.jpg,3,A dozer is pushing the soil on the field.,2
000139.jpg,3,An excavator is excavating the sold on the ground and three dump trucks are waiting to be loaded.,2
000140.jpg,3,A tower crane is mounted in the top of the building.,2
000141.jpg,3,A grader is grading the soil on the field.,2
000142.jpg,3,A dozer is pushing soil to a mound.,2
000144.jpg,3,A grading is levelling the constructed road.,2
000145.jpg,3,A loader is riding on a road to transfer the soil in its bucket.,2
000146.jpg,3,The wheel loader parked on the site.,2
000148.jpg,3,A wheel loader hold a huge gravel on its bucket while a dump truck is waiting beside.,2
000149.jpg,3,A dozer is moving on top on the gravel field.,2
000150.jpg,3,An excavator and a wheel loader is excavating s pile of sand.,2
000151.jpg,3,A backhoe loader is pushing wet clay.,2
000152.jpg,3,An excavator is digging soil from the ground to transport the soil to the dump truck beside.,2
000153.jpg,3,Two tower cranes are mounted on a construction field.,2
000154.jpg,3,Tower crane is transport the load. ,2
000155.jpg,3,An excavator is pulling a bucket of gravel into a dump truck.,2
000156.jpg,3,An excavator is dumping soil and rock into a dump truck.,2
000158.jpg,3,Two compactors are working in the same time to compact the concrete road.,2
000162.jpg,3,A dozer is pushing the soil while two dump trucks are transporting the soil.,2
000163.jpg,3,A wheel loader parked on the ground.,2
000164.jpg,3,A grader is sitting on the field.,2
000165.jpg,3,Compactor compacting uneven brown soil.,2
000166.jpg,3,Wheel loader is dumping soil into a dump truck.,2
000167.jpg,3,A compactor is moving on the equipment lot.,2
000168.jpg,3,An excavator is loading gravel into a dump truck on a construction field.,2
000169.jpg,3,A dozer is plowing the soil on the field,2
000170.jpg,3,Two tower cranes are mounted on the building construction site.,2
000171.jpg,3,A concrete mixer truck parked on a parking lot.,2
000172.jpg,3,A grader is pushing some dark soil.,2
000173.jpg,3,A wheel loader is lifting a bucket of small gravel to transfer it from the field to the dump truck.,2
000174.jpg,3,A backhoe loader is pushing soil along a road.,2
000175.jpg,3,Two compactors are waiting on a parking site.,2
000176.jpg,3,A compactor is moving on the site.,2
000177.jpg,3,A concrete mixer truck is waiting for job.,2
000178.jpg,3,A grader is flattening the sandy ground.,2
000179.jpg,3,A grader is moving on the road.,2
000180.jpg,3,A dozer is flattening the soil field.,2
000181.jpg,3,The compactor is compacting a pile of rock and sand.,2
000182.jpg,3,A compacting is climbing up hill on top of the soil.,2
000183.jpg,3,A backhoe loader is excavating the soil on the ground.,2
000184.jpg,3,A dozer is moving forward while pushing the soil on the ground.,2
000185.jpg,3,A truck is loading a compactor.,2
000187.jpg,3,An excavator is digging its into the ground.,2
000188.jpg,3,A grader is grading a narrow road in a forest.,2
000191.jpg,3,Excavator is filling its bucket with sand and stones and filling the trucks with it.,2
000194.jpg,3,A dump truck is waiting for the wheel loader to load the sold.,2
000196.jpg,3,A wheel loader is moving with a full bucket of gravel.,2
000197.jpg,3,An excavator is lifing a steel beam using its bucket.,2
000198.jpg,3,Wheel loader is spreading the soil evenly on earth surface. ,2
000200.jpg,3,A compactor is siting on the field.,2
000201.jpg,3,A wheel loader is holding a bucket of soil and is about the dump into a half filled dump truck.,2
000202.jpg,3,A wheel loader is moving on the construction site.,2
000203.jpg,3,A wheel loader is holding a bucket of large gravel on the field.,2
000204.jpg,3,A concrete mixer truck is driving on a small road.,2
000206.jpg,3,A backhoe loader is demolishing a building made by bricks.,2
000207.jpg,3,A man is riding a compactor.,2
000208.jpg,3,An excavator is digging into the ground.,2
000209.jpg,3,A compactor is compacting a construction site.,2
000210.jpg,3,A dozer is pushing the soil.,2
000211.jpg,3,A backhoe loader is digging a bucket of sand.,2
000212.jpg,3,A wheel loader is loading a bucket of grey sand.,2
000213.jpg,3,A excavator is is operating at night with the flash lights on.,2
000214.jpg,3,A wheel loader is unloading a bucket of sand to a machine.,2
000215.jpg,3,A dozer is moving on a sandy field.,2
000218.jpg,3,Excavator is dumping soil into a dump truck.,2
000219.jpg,3,A grader is moving on the site.,2
000220.jpg,3,A mobile crane is riding on a road.,2
000221.jpg,3,A backhoe loader is digging into the ground.,2
000222.jpg,3,A wheel loader is spreading a pile soil evenly onto the ground.,2
000223.jpg,3,Wheel loader is parked in the field. Concrete is parked behind a wheel loader. ,2
000225.jpg,3,The wheel loader is pulling a bucket soil into the dump truck.,2
000226.jpg,3,An excavator is loading soil into a dump truck while two other dump trucks are waiting.,2
000227.jpg,3,A backhoe loader is riding on a road.,2
000228.jpg,3,A mobile crane is parked on the ground.,2
000231.jpg,3,A excavator is excavating the underground construction site.,2
000232.jpg,3,A compactor is compacting the road.,2
000233.jpg,3,A backhoe loader parked on the site.,2
000234.jpg,3,A grader is parked on the road.,2
000235.jpg,3,A grader is driving on a grass field.,2
000237.jpg,3,A backhoe loader is operating on a road inside a forest.,2
000238.jpg,3,Two excavators is excavating rocks.,2
000239.jpg,3,A wheel loader is removing snow.,2
000240.jpg,3,A wheel loader is lifting a bucket of soil to load it into the dump truck beside.,2
000241.jpg,3,A dozer is pushing soil to grade the road.,2
000242.jpg,3,A compactor is compacting the concrete road.,2
000243.jpg,3,Two tower cranes are on the construction site.,2
000244.jpg,3,Three dump trucks are waiting to be loaded by the excavator.,2
000245.jpg,3,A compactor is moving beside some other construction machines.,2
000246.jpg,3,Three excavators are transporting the soil on the field to the five dump trucks.,2
000247.jpg,3,The grader is making a U-turn on the construction field.,2
000248.jpg,3,A dozer is levelling the soil on the ground.,2
000249.jpg,3,A grader is levelling the soil on the field.,2
000251.jpg,3,A wheel loader is moving on a dusty field.,2
000252.jpg,3,A compactor is compacting a construction site.,2
000253.jpg,3,A compactor is compacting the soil.,2
000254.jpg,3,A concrete mixer truck is moving on the road.,2
000255.jpg,3,Excavator filling up the dump truck that stands nearby with excavated earth.,2
000256.jpg,3,Two tower cranes are mounted in the steel  manufacturing storage outside. ,2
