Index,2-gram,Count,3-gram,Count,4-gram,Count
1,loader is,5105,an excavator is,2982,a wheel loader is,2405
2,excavator is,3445,wheel loader is,2815,a backhoe loader is,1567
3,an excavator,3217,a wheel loader,2615,a mobile crane is,1392
4,wheel loader,3146,a dump truck,2117,concrete mixer truck is,1116
5,dump truck,2749,a grader is,2039,a compactor is compacting,1079
6,a wheel,2626,backhoe loader is,1863,a concrete mixer truck,1068
7,grader is,2331,a compactor is,1657,an excavator is digging,757
8,is riding,2225,a backhoe loader,1626,a grader is grading,674
9,a grader,2128,a mobile crane,1616,is grading a road,643
10,a dump,2123,mobile crane is,1592,a grader is levelling,564
11,crane is,2086,compactor is compacting,1211,wheel loader is loading,528
12,truck is,2073,concrete mixer truck,1205,compactor is compacting a,514
13,backhoe loader,1976,a concrete mixer,1128,grader is grading a,511
14,mobile crane,1893,mixer truck is,1122,a bull dozer is,509
15,compactor is,1878,a dozer is,940,a dump truck is,508
16,a compactor,1739,excavator is digging,787,an excavator is excavating,497
17,dozer is,1668,grader is grading,774,into a dump truck,491
18,a backhoe,1646,loader is riding,762,an excavator is dumping,470
19,a mobile,1627,is grading a,728,an excavator is loading,463
20,a road,1496,dump truck is,686,mixer truck is riding,442
21,concrete mixer,1303,grading a road,654,a back hoe loader,437
22,is loading,1257,loader is loading,635,is compacting a road,431
23,is compacting,1227,excavator is excavating,612,a tower crane is,409
24,mixer truck,1212,truck is riding,582,back hoe loader is,398
25,a concrete,1153,grader is levelling,572,to a dump truck,365
26,on the,1108,excavator is loading,560,compactor is compacting the,362
27,is grading,1087,dozer is pushing,556,wheel loader is riding,358
28,is digging,987,is pushing soil,541,dozer is pushing soil,353
29,a dozer,984,is loading soil,541,on to a dump,349
30,is parked,979,a bull dozer,537,is loading soil on,322
31,the road,908,excavator is dumping,520,excavator is excavating soil,314
32,is idling,907,is compacting a,515,excavator is loading soil,309
33,is lifting,902,bull dozer is,509,excavator is dumping soil,305
34,is dumping,898,into a dump,494,mobile crane is parked,303
35,is pushing,898,tower crane is,473,mobile crane is lifting,284
36,grading a,745,a tower crane,443,an excavator is lifting,276
37,is levelling,723,back hoe loader,442,soil on to a,267
38,is excavating,706,a back hoe,437,a dozer is pushing,266
39,on a,703,compacting a road,434,loading soil on to,251
40,soil on,662,is dumping soil,425,bull dozer is pushing,244
41,the soil,650,hoe loader is,399,backhoe loader is riding,242
42,into a,638,crane is lifting,394,a compactor is riding,237
43,pushing soil,595,on to a,382,in a dump truck,236
44,in a,580,is compacting the,373,loader is loading soil,227
45,the ground,573,to a dump,367,wheel loader is dumping,226
46,the site,565,is excavating soil,352,soil into a dump,211
47,loading soil,562,loader is idling,339,soil in a dump,211
48,bull dozer,538,loading soil on,339,mobile crane is riding,207
49,a bull,537,the dump truck,326,the wheel loader is,199
50,tower crane,532,loader is hauling,322,backhoe loader is idling,192
